,Time,X_velocity,Y_velocity,Z_velocity,X_angular,Y_angular,Z_angular,X_acceleration,Y_acceleration,Z_acceleration,Vertical_Speed,Pitch,Bank,Yaw,IAS,Greyout
0,0.018,-73.05202484,0,135.759964,0,0,0,0.116670735,0.993170679,0,0,0.110131375,0,8.347640514,132.4034576,0
1,0.034,-73.05191803,0.002908489,135.7597656,8.70E-06,1.94E-05,-0.010547061,0.126063809,0.99411428,5.27E-06,0.002908489,0.116810501,7.70E-08,2.06619978,132.4034576,0
2,0.054,-73.05183411,0.00581702,135.7595978,1.74E-05,3.89E-05,-0.021094123,0.126013085,0.994113564,5.23E-06,0.00581702,0.116473027,2.82E-07,2.06619978,132.4034576,0
3,0.101,-73.06106567,-0.044868909,135.7758026,9.53E-05,-3.63E-05,-0.019915968,0.136134565,0.900974214,0.000758134,-0.044868909,0.115244374,3.85E-06,2.06619978,132.4060364,0
4,0.11,-73.06106567,-0.044868909,135.7758026,9.53E-05,-3.63E-05,-0.019915968,0.136134565,0.900974214,0.000758134,-0.044868909,0.115244374,3.85E-06,2.06619978,132.4060364,0
5,0.117,-73.06106567,-0.044868909,135.7758026,9.53E-05,-3.63E-05,-0.019915968,0.136134565,0.900974214,0.000758134,-0.044868909,0.115244374,3.85E-06,2.06619978,132.4060364,0
6,0.128,-73.06419373,-0.062479243,135.7812958,0.000120576,-6.03E-05,-0.019496707,0.136136666,0.900974274,0.000758037,-0.062479243,0.114851102,6.18E-06,2.066200733,132.407547,0
7,0.138,-73.06419373,-0.062479243,135.7812958,0.000120576,-6.03E-05,-0.019496707,0.136136666,0.900974274,0.000758037,-0.062479243,0.114851102,6.18E-06,2.066200733,132.407547,0
8,0.155,-73.06733704,-0.081071302,135.7868195,0.000145327,-8.24E-05,-0.019044355,0.135298997,0.896082103,0.000771422,-0.081071302,0.114466637,9.05E-06,2.066202164,132.4093933,0
9,0.172,-73.07051086,-0.099665783,135.7923889,0.000170092,-0.000104561,-0.018592002,0.135301232,0.896082103,0.000771325,-0.099665783,0.114091203,1.25E-05,2.066204071,132.4115448,0
10,0.19,-73.07369995,-0.119153224,135.7979889,0.000194577,-0.000124565,-0.018113105,0.134541899,0.891628206,0.000790695,-0.119153224,0.113725141,1.64E-05,2.066206455,132.4139862,0
11,0.207,-73.07692719,-0.138643011,135.8036346,0.000219074,-0.000144571,-0.017634207,0.134544253,0.891628265,0.000790598,-0.138643011,0.113368638,2.09E-05,2.066209316,132.416687,0
12,0.224,-73.08016205,-0.158933386,135.8092957,0.000242711,-0.000162359,-0.017135233,0.133865401,0.887630939,0.000813878,-0.158933386,0.113021977,2.60E-05,2.066212177,132.4196472,0
13,0.241,-73.08342743,-0.179226011,135.8150177,0.000266356,-0.000180147,-0.016636258,0.13386783,0.887630939,0.000813783,-0.179226011,0.112685271,3.15E-05,2.066215992,132.4228363,0
14,0.26,-73.0867157,-0.200232178,135.820755,0.000289178,-0.000195465,-0.016123325,0.133265242,0.88406384,0.00083766,-0.200232178,0.112358734,3.75E-05,2.066219807,132.426239,0
15,0.276,-73.0867157,-0.200232178,135.820755,0.000289178,-0.000195465,-0.016123325,0.133265242,0.88406384,0.00083766,-0.200232178,0.112358734,3.75E-05,2.066219807,132.426239,0
16,0.295,-73.09002686,-0.221240491,135.8265381,0.000312006,-0.000210784,-0.01561039,0.133267716,0.8840639,0.000837567,-0.221240491,0.112042442,4.40E-05,2.066223621,132.4298401,0
17,0.315,-73.09335327,-0.242871791,135.8323364,0.000334671,-0.000223842,-0.0150888,0.132742211,0.880945861,0.000860981,-0.242871791,0.111736521,5.10E-05,2.066227913,132.4336395,0
18,0.332,-73.09670258,-0.264505088,135.8381805,0.000357339,-0.0002369,-0.014567209,0.132744685,0.880945861,0.000860888,-0.264505088,0.111441024,5.85E-05,2.066232681,132.4376221,0
19,0.35,-73.10007477,-0.286670119,135.8440399,0.000379847,-0.00024771,-0.014042351,0.132295951,0.87828052,0.000885395,-0.286670119,0.111156002,6.65E-05,2.06623745,132.4417572,0
20,0.367,-73.10346985,-0.308837056,135.8499451,0.000402356,-0.00025852,-0.013517492,0.132298425,0.87828052,0.000885302,-0.308837056,0.110881463,7.49E-05,2.066242695,132.4460449,0
21,0.385,-73.10688019,-0.331445992,135.8558655,0.000424684,-0.000267115,-0.012994398,0.131924406,0.876060665,0.000910341,-0.331445992,0.110617407,8.38E-05,2.06624794,132.4504852,0
22,0.402,-73.11031342,-0.354056686,135.8618164,0.00044701,-0.00027571,-0.012471305,0.131926835,0.876060605,0.000910248,-0.354056686,0.110363819,9.32E-05,2.066253185,132.4550476,0
